,times,d=0,d=1,d=200
73,2.0022003718155843,0.1665445227464399,0.2498625585779782,0.2498625585779782
74,2.2219468609395236,0.15518568582502915,0.23685756139886166,0.23685756139886166
75,2.4658110758226037,0.14426637946212398,0.22392348564972814,0.22392348564972814
76,2.736439997074672,0.1338172151810115,0.21112903689300708,0.21112903689300708
77,3.0367711180354604,0.12386136730555182,0.19853990319555886,0.19853990319555886
78,3.370064329271928,0.11441479298100758,0.18621751561621225,0.18621751561621225
79,3.739937302478798,0.10548663380076843,0.17421792878057535,0.17421792878057535
80,4.150404757850477,0.09707975721487022,0.16259092336577155,0.16259092336577155
81,4.605922041145108,0.08919140402701456,0.15137932809226645,0.15137932809226645
82,5.1114334834401705,0.08181387708441983,0.1406186344088284,0.1406186344088284
83,5.672426068491977,0.07493527242598444,0.13033688116461223,0.13033688116461223
84,6.294988990221888,0.06854020612130174,0.12055471942302431,0.12055471942302431
85,6.985879746785249,0.06261051255814444,0.1112857127583474,0.1112857127583474
86,7.752597488629465,0.0571258989980174,0.10253678532087931,0.10253678532087931
87,8.60346441668451,0.052064543424194094,0.09430879749503138,0.09430879749503138
88,9.547716114208066,0.047403627712365094,0.08659720965516603,0.08659720965516603
89,10.59560179277617,0.04311980234325627,0.07939279561101793,0.07939279561101793
90,11.758495540521581,0.03918958222053921,0.07268237242734697,0.07268237242734697
91,13.049019780144016,0.03558968174820317,0.0664495192485152,0.0664495192485152
92,14.481182276745331,0.032297285891274057,0.060675269020629204,0.060675269020629204
93,16.070528182616385,0.02929025577561776,0.05533873666299557,0.05533873666299557
94,17.834308769319094,0.026547300430252056,0.05041769823210941,0.05041769823210941
95,19.791668678535572,0.024048093991368022,0.04588910350435068,0.04588910350435068
96,21.96385372416547,0.0217733526063468,0.04172951756532683,0.04172951756532683
97,24.37444150122222,0.01970487633426474,0.03791549447116661,0.03791549447116661
98,27.04959730463137,0.01782557899247157,0.03442388570877271,0.03442388570877271
99,30.01835813575592,0.016119494133440007,0.031232087730500496,0.031232087730500496
100,33.31294787934677,0.014571760386587973,0.028318233874358674,0.028318233874358674
